"U.S. Census Bureau"
"Source: Manufacturers' Shipments, Inventories, and Orders"
"Computer and Electronic Products: U.S. Total"
"Not Seasonally Adjusted Value of Shipments [Millions of Dollars]"
"Period: 1992 to 2022"
"Data Extracted on: January 27, 2022 (1:25 pm)"

Period,Value
Jan-1992,19172
Feb-1992,21267
Mar-1992,24865
Apr-1992,20682
May-1992,21304
Jun-1992,25486
Jul-1992,20002
Aug-1992,21695
Sep-1992,25894
Oct-1992,22643
Nov-1992,23710
Dec-1992,27008
Jan-1993,19496
Feb-1993,22076
Mar-1993,25989
Apr-1993,20644
May-1993,21800
Jun-1993,26641
Jul-1993,20455
Aug-1993,22951
Sep-1993,28010
Oct-1993,23894
Nov-1993,25546
Dec-1993,28955
Jan-1994,21540
Feb-1994,24190
Mar-1994,27904
Apr-1994,23559
May-1994,24620
Jun-1994,29663
Jul-1994,23016
Aug-1994,26195
Sep-1994,31220
Oct-1994,27137
Nov-1994,28785
Dec-1994,32940
Jan-1995,24295
Feb-1995,27226
Mar-1995,32855
Apr-1995,26241
May-1995,28521
Jun-1995,35066
Jul-1995,25713
Aug-1995,30197
Sep-1995,37229
Oct-1995,31431
Nov-1995,33345
Dec-1995,38560
Jan-1996,26481
Feb-1996,31090
Mar-1996,37031
Apr-1996,28808
May-1996,30696
Jun-1996,37391
Jul-1996,27513
Aug-1996,31850
Sep-1996,39070
Oct-1996,33085
Nov-1996,35177
Dec-1996,41324
Jan-1997,28262
Feb-1997,33087
Mar-1997,41589
Apr-1997,31127
May-1997,33228
Jun-1997,43301
Jul-1997,31250
Aug-1997,35593
Sep-1997,44626
Oct-1997,35821
Nov-1997,36424
Dec-1997,45072
Jan-1998,29310
Feb-1998,34786
Mar-1998,42542
Apr-1998,31921
May-1998,32840
Jun-1998,43702
Jul-1998,30796
Aug-1998,34407
Sep-1998,43789
Oct-1998,36153
Nov-1998,38028
Dec-1998,45494
Jan-1999,30855
Feb-1999,35248
Mar-1999,43376
Apr-1999,34128
May-1999,36100
Jun-1999,45404
Jul-1999,34868
Aug-1999,37191
Sep-1999,46103
Oct-1999,38106
Nov-1999,39483
Dec-1999,46197
Jan-2000,33734
Feb-2000,37765
Mar-2000,46516
Apr-2000,37121
May-2000,39438
Jun-2000,49114
Jul-2000,37150
Aug-2000,40499
Sep-2000,51893
Oct-2000,41885
Nov-2000,42610
Dec-2000,52914
Jan-2001,35818
Feb-2001,38385
Mar-2001,46021
Apr-2001,32941
May-2001,32724
Jun-2001,41695
Jul-2001,29852
Aug-2001,31087
Sep-2001,38274
Oct-2001,31109
Nov-2001,31872
Dec-2001,39693
Jan-2002,26765
Feb-2002,28948
Mar-2002,35651
Apr-2002,27643
May-2002,28662
Jun-2002,34171
Jul-2002,25996
Aug-2002,28314
Sep-2002,33430
Oct-2002,27005
Nov-2002,28436
Dec-2002,32303
Jan-2003,24548
Feb-2003,26207
Mar-2003,32364
Apr-2003,25818
May-2003,26801
Jun-2003,33455
Jul-2003,25452
Aug-2003,27795
Sep-2003,34252
Oct-2003,29697
Nov-2003,29797
Dec-2003,36087
Jan-2004,26158
Feb-2004,28189
Mar-2004,33933
Apr-2004,27739
May-2004,28511
Jun-2004,33568
Jul-2004,26985
Aug-2004,29403
Sep-2004,34163
Oct-2004,29886
Nov-2004,30785
Dec-2004,36225
Jan-2005,26902
Feb-2005,28033
Mar-2005,35114
Apr-2005,27592
May-2005,28738
Jun-2005,34969
Jul-2005,26409
Aug-2005,30219
Sep-2005,35637
Oct-2005,30175
Nov-2005,30891
Dec-2005,38203
Jan-2006,26929
Feb-2006,30523
Mar-2006,36984
Apr-2006,28851
May-2006,30910
Jun-2006,37118
Jul-2006,28587
Aug-2006,32018
Sep-2006,37052
Oct-2006,31624
Nov-2006,32997
Dec-2006,37220
Jan-2007,29316
Feb-2007,30277
Mar-2007,35992
Apr-2007,31188
May-2007,30994
Jun-2007,36637
Jul-2007,28376
Aug-2007,31976
Sep-2007,36542
Oct-2007,32720
Nov-2007,33239
Dec-2007,38471
Jan-2008,31437
Feb-2008,30206
Mar-2008,35350
Apr-2008,31045
May-2008,31062
Jun-2008,35292
Jul-2008,30685
Aug-2008,29793
Sep-2008,34768
Oct-2008,31367
Nov-2008,28115
Dec-2008,33977
Jan-2009,24494
Feb-2009,23697
Mar-2009,28653
Apr-2009,25301
May-2009,23824
Jun-2009,28137
Jul-2009,26392
Aug-2009,25910
Sep-2009,28712
Oct-2009,28349
Nov-2009,26595
Dec-2009,29411
Jan-2010,26044
Feb-2010,23614
Mar-2010,28081
Apr-2010,27508
May-2010,25482
Jun-2010,27539
Jul-2010,27375
Aug-2010,26574
Sep-2010,29701
Oct-2010,28692
Nov-2010,27588
Dec-2010,30157
Jan-2011,26299
Feb-2011,24527
Mar-2011,29024
Apr-2011,27955
May-2011,26420
Jun-2011,29557
Jul-2011,26285
Aug-2011,27752
Sep-2011,30115
Oct-2011,28781
Nov-2011,26634
Dec-2011,29602
Jan-2012,25480
Feb-2012,24999
Mar-2012,28012
Apr-2012,25454
May-2012,25753
Jun-2012,28676
Jul-2012,24340
Aug-2012,23780
Sep-2012,27554
Oct-2012,25704
Nov-2012,24683
Dec-2012,29153
Jan-2013,22273
Feb-2013,22505
Mar-2013,28339
Apr-2013,24128
May-2013,24459
Jun-2013,28959
Jul-2013,23958
Aug-2013,24994
Sep-2013,29381
Oct-2013,25457
Nov-2013,25223
Dec-2013,29738
Jan-2014,23220
Feb-2014,22473
Mar-2014,28445
Apr-2014,24247
May-2014,23929
Jun-2014,29304
Jul-2014,24748
Aug-2014,24964
Sep-2014,28167
Oct-2014,24635
Nov-2014,23517
Dec-2014,28154
Jan-2015,21462
Feb-2015,21357
Mar-2015,27563
Apr-2015,23848
May-2015,23368
Jun-2015,28627
Jul-2015,23970
Aug-2015,25274
Sep-2015,28170
Oct-2015,24949
Nov-2015,25014
Dec-2015,28087
Jan-2016,21948
Feb-2016,22150
Mar-2016,27002
Apr-2016,22785
May-2016,23280
Jun-2016,27655
Jul-2016,23583
Aug-2016,25476
Sep-2016,27705
Oct-2016,25317
Nov-2016,25412
Dec-2016,28502
Jan-2017,23473
Feb-2017,21982
Mar-2017,27092
Apr-2017,22866
May-2017,23689
Jun-2017,27755
Jul-2017,23917
Aug-2017,25906
Sep-2017,28318
Oct-2017,26008
Nov-2017,26536
Dec-2017,28750
Jan-2018,23896
Feb-2018,22932
Mar-2018,27434
Apr-2018,24143
May-2018,24780
Jun-2018,28584
Jul-2018,24917
Aug-2018,26670
Sep-2018,28661
Oct-2018,26955
Nov-2018,27026
Dec-2018,29843
Jan-2019,23874
Feb-2019,23629
Mar-2019,27818
Apr-2019,24611
May-2019,25233
Jun-2019,28407
Jul-2019,24861
Aug-2019,26447
Sep-2019,28976
Oct-2019,26212
Nov-2019,26532
Dec-2019,29833
Jan-2020,23753
Feb-2020,24232
Mar-2020,28384
Apr-2020,24262
May-2020,24949
Jun-2020,28966
Jul-2020,25839
Aug-2020,27989
Sep-2020,31361
Oct-2020,28475
Nov-2020,28809
Dec-2020,31938
Jan-2021,25777
Feb-2021,25522
Mar-2021,31008
Apr-2021,26538
May-2021,27168
Jun-2021,30921
Jul-2021,26987
Aug-2021,29098
Sep-2021,32586
Oct-2021,28903
Nov-2021,29315
Dec-2021,"NA"
Jan-2022,"NA"
Feb-2022,"NA"
Mar-2022,"NA"
Apr-2022,"NA"
May-2022,"NA"
Jun-2022,"NA"
Jul-2022,"NA"
Aug-2022,"NA"
Sep-2022,"NA"
Oct-2022,"NA"
Nov-2022,"NA"
Dec-2022,"NA"
